date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-12-08 00:00:00,28.3,24.4,35.9,,,,,,,
2020-12-09 00:00:00,29.2,24,35,,,,,,,
2020-12-10 00:00:00,29.3,,34.8,,,,,,,
2020-12-11 00:00:00,28.5,24.4,35.6,,,,,,,
2020-12-12 00:00:00,27.2,24.6,34.6,,,,,,,
2020-12-13 00:00:00,26.9,,33.5,,,,,,,
2020-12-14 00:00:00,25.9,23.1,32.2,,,,,,,
2020-12-15 00:00:00,25.9,23.5,32.6,,,,,,,
2020-12-16 00:00:00,26.3,,32.2,,,,,,,
2020-12-17 00:00:00,27.2,23.2,32.5,,,,,,,
2020-12-18 00:00:00,27.8,23.2,34.3,,,,,,,
2020-12-19 00:00:00,27.9,,,,,,,,,
2020-12-20 00:00:00,28.3,23.6,34.6,,,,,,,
2020-12-21 00:00:00,26.2,,32.8,,,,,,,
2020-12-22 00:00:00,27.6,23.6,,,,,,,,
2020-12-23 00:00:00,27.5,24.7,,,,,,,,
2020-12-24 00:00:00,28.1,24.6,32.8,,,,,,,
2020-12-25 00:00:00,26.9,24.5,32.8,,,,,,,
2020-12-26 00:00:00,26.2,24.4,30.9,,,,,,,
2020-12-27 00:00:00,27.9,24.3,33.5,,,,,,,
2020-12-28 00:00:00,25.7,24,33.6,,,,,,,
2020-12-29 00:00:00,27.2,21.2,33.2,,,,,,,
2020-12-30 00:00:00,27.3,,32.4,,,,,,,
2020-12-31 00:00:00,26.8,23.4,32.8,,,,,,,
2021-01-01 00:00:00,26.9,23.2,32.4,,,,,,,
2021-01-02 00:00:00,29.3,23.4,,,,,,,,
2021-01-03 00:00:00,27.1,23.6,31.4,1,,,6.8,,1008.1,
2021-01-04 00:00:00,27.2,23.7,30.6,0.8,,,6.8,,1007.9,
2021-01-05 00:00:00,27.1,23.9,31.9,1.7,,,5.9,,1007.7,
2021-01-06 00:00:00,25.8,23.7,29,20.2,,,3.4,,1007.9,
2021-01-07 00:00:00,27.1,23.8,32.2,4.9,,,4.8,,1006.9,
2021-01-08 00:00:00,27,23.5,32.6,2.5,,,4.5,,1007,
2021-01-09 00:00:00,27.7,23.4,32.7,6.2,,,4.2,,1007,
2021-01-10 00:00:00,27.6,23.6,33.3,2,,,4.5,,1006.9,
2021-01-11 00:00:00,28,23.4,33,4.7,,,3.8,,1007.3,
2021-01-12 00:00:00,27.4,23.9,32.8,5.7,,,4.3,,1007.6,
2021-01-13 00:00:00,27.5,24.2,33.1,4.4,,,4,,1007.4,
2021-01-14 00:00:00,26.4,24.1,33.4,3.4,,,5.1,,1007.5,
2021-01-15 00:00:00,26.1,24.1,30.4,8.3,,,3.4,,1007,
2021-01-16 00:00:00,26.2,23.1,32.4,3,,,6.4,,1006.2,
2021-01-17 00:00:00,26.5,23.2,31.4,0.7,,,5,,1007,
2021-01-18 00:00:00,27.5,23.7,32.5,0,,,5.1,,1006.6,
2021-01-19 00:00:00,28,23.6,33.8,1,,,4.7,,1007.1,
2021-01-20 00:00:00,28.7,23.5,34,1.9,,,4.7,,1008.1,
2021-01-21 00:00:00,27.3,24.4,33.7,6.1,,,3.9,,1008.8,
